,id,datetime,machine,temp,speed,rpm,rms_velocity_x,rms_velocity_y,rms_velocity_z,rms_Acceleration_x,rms_Acceleration_y,rms_Acceleration_z,created_on,updated_on
52,5460,01-03-2022 01:15,Drumming 4,43.44,30.0,30.0,2.44,2.59,1.07,56.78,63.56,28.29,2022-03-17 11:00:25,2022-07-27 09:03:49
53,5461,01-03-2022 01:16,Drumming 4,43.19,30.0,330.0,2.06,1.95,0.79,49.97,47.26,18.13,2022-03-17 11:00:25,2022-07-27 09:03:49
56,5464,01-03-2022 01:19,Drumming 4,42.5,30.0,30.0,2.17,2.32,0.96,51.6,55.99,21.54,2022-03-17 11:00:25,2022-07-27 09:03:49
60,5468,01-03-2022 01:23,Drumming 4,41.56,30.0,30.0,2.52,2.46,1.43,57.49,57.68,34.27,2022-03-17 11:00:25,2022-07-27 09:03:49
61,5470,01-03-2022 01:25,Drumming 4,41.12,30.0,450.0,1.57,1.83,1.05,36.15,44.58,25.47,2022-03-17 11:00:25,2022-07-27 09:03:49
63,5472,01-03-2022 01:27,Drumming 4,40.81,30.0,480.0,2.76,2.49,1.1,63.53,58.0,24.83,2022-03-17 11:00:25,2022-07-27 09:03:49
64,5473,01-03-2022 01:28,Drumming 4,40.62,30.0,480.0,2.57,2.79,1.71,56.54,64.4,38.81,2022-03-17 11:00:25,2022-07-27 09:03:49
109,5536,01-03-2022 02:31,Drumming 4,42.0,30.0,300.0,1.67,1.74,0.88,39.14,40.62,24.14,2022-03-17 11:00:25,2022-07-27 09:03:49
110,5538,01-03-2022 02:33,Drumming 4,41.62,30.0,450.0,2.27,1.93,1.29,53.74,45.56,33.42,2022-03-17 11:00:25,2022-07-27 09:03:49
111,5539,01-03-2022 02:34,Drumming 4,41.44,30.0,480.0,4.19,4.06,1.15,96.21,97.39,32.6,2022-03-17 11:00:25,2022-07-27 09:03:49
112,5540,01-03-2022 02:35,Drumming 4,41.19,30.0,330.0,1.89,2.31,0.9,45.09,57.49,22.31,2022-03-17 11:00:25,2022-07-27 09:03:49
113,5541,01-03-2022 02:36,Drumming 4,40.94,30.0,330.0,2.02,2.41,0.93,47.81,60.19,23.32,2022-03-17 11:00:25,2022-07-27 09:03:49
117,5545,01-03-2022 02:40,Drumming 4,40.25,30.0,330.0,1.86,2.28,0.83,44.56,56.88,21.31,2022-03-17 11:00:25,2022-07-27 09:03:49
118,5546,01-03-2022 02:41,Drumming 4,40.12,30.0,300.0,2.23,2.4,1.01,52.39,58.95,25.6,2022-03-17 11:00:25,2022-07-27 09:03:49
119,5547,01-03-2022 02:42,Drumming 4,40.0,30.0,300.0,1.98,2.32,1.03,46.6,57.79,26.68,2022-03-17 11:00:25,2022-07-27 09:03:49
161,5608,01-03-2022 03:43,Drumming 4,41.06,30.0,330.0,2.56,2.08,1.14,58.43,47.25,28.74,2022-03-17 11:00:25,2022-07-27 09:03:49
162,5609,01-03-2022 03:44,Drumming 4,40.81,30.0,450.0,1.74,1.7,0.8,40.43,42.99,19.26,2022-03-17 11:00:25,2022-07-27 09:03:49
164,5611,01-03-2022 03:46,Drumming 4,40.44,30.0,300.0,2.37,2.75,1.33,54.9,67.49,35.88,2022-03-17 11:00:25,2022-07-27 09:03:49
165,5612,01-03-2022 03:47,Drumming 4,40.19,30.0,450.0,2.21,2.03,0.81,51.19,47.92,19.33,2022-03-17 11:00:25,2022-07-27 09:03:49
167,5614,01-03-2022 03:49,Drumming 4,39.88,30.0,450.0,2.66,2.43,1.15,60.17,55.5,27.5,2022-03-17 11:00:25,2022-07-27 09:03:49
168,5615,01-03-2022 03:50,Drumming 4,39.75,30.0,450.0,1.93,1.96,0.68,44.39,48.26,17.85,2022-03-17 11:00:25,2022-07-27 09:03:49
